Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1,_order:1010
2c3a8c4e-d07c-460f-b3e8-1aa2c15038c3,0,5 Fluoro Uracile 100mg,5 Fluoro Uracil,Injection,100mg,,
93a70f87-f120-4188-ab06-141b89046ae1,0,Acécoumarol 1mg,Acécoumarol,Comprimé,1mg,,
2d31c6a1-89bf-4faa-a97b-7c4639fd599e,0,Acécoumarol 4mg,Acécoumarol,Comprimé,4mg,,
7cbfcfc6-45c5-4cd1-8a18-3e9ebadb71e0,0,Acétazolamide 250mg,Acetazolamide,Comprimé,250mg,,
2533d4d6-849f-4706-a8a0-a3944649c1f8,0,Acétyleucine 500mg,Acetazolamide,Comprimé,500mg,,
d7946e36-9630-4bd2-8040-7a72d1688c44,0,Acétylsalicylate de lysine 1800mg (soit 1g d'AAS/5ml),Lysine Acetylsalicylate,Injection,1800mg,,
333cc7c3-8ad9-423c-9464-5c9b6111cf85,0,Acétylsalicylate de lysine 900mg (soit 500mg d'AAS/5ml),Lysine Acetylsalicylate,Injection,900mg,,
20d91672-40bf-4b80-b837-933745fd9241,0,Aciclovir 3%,Acyclovir,Pommade,3%,,
6546fac1-4240-4398-a20d-997302bf613e,0,Acide Acétyl Salicylique (AAS) 100mg,Acetyl Salicylic Acid (AAS),Comprimé,100mg,,
72791fb9-5d72-4b4d-886c-86e132e293af,0,Acide Acétyl Salicylique (AAS) 300mg,Acetyl Salicylic Acid (AAS),Comprimé,300mg,,
8213eca4-c37f-46b3-9237-55a17d9cf36a,0,Acide Acétyl Salicylique (AAS) 500mg,Acetyl Salicylic Acid (AAS),Comprimé,500mg,,
b8c7cf30-f20d-443e-9df5-4df8c08a7e28,0,Acide Ascorbique (Vitamine C) 1g/5ml,Ascorbic Acid (Vitamin C),Injection,1g/5ml,,
62518b88-25dd-4e6f-bd97-d35a74dfb4d1,0,Acide folinique 15mg,Folinic Acid,Comprimé,15mg,,
64fcf482-988b-4871-bcaf-89a64265a40c,0,Acide folinique 5mg,Folinic Acid,Capsule,5mg,,
ba538b87-2a80-4f4a-bbcd-27f29cc682a7,0,Acide Folique 1mg,Folic Acid,Comprimé,1mg,,
87c8e82f-98b6-4e5a-abbd-7aac1af4e9da,0,Acide Folique 5mg,Folic Acid,Comprimé,5mg,,
25dbfebd-588b-473a-b841-a635543c9396,0,Acide Ibandronique 6mg,Ibandronic Acid,Injection,6mg,,
5b14620e-d255-4846-ba67-93486366655a,0,Acide Pamidronique 90mg,Pamidronic Acid,Injection,90mg,,
44baac31-ee03-43ad-92a4-6d5a0aadf80e,0,Acide para amino salicyliques 500mg,Salicylic Para Amino Acid,Comprimé,500mg,,
fe5fc326-bcf7-43d0-891b-3b5cd70613e7,0,Acide tranexamique 500mg/5ml,Tranexamic Acid,Injection,500mg/5ml,,
b93141e5-9480-4550-963e-528c7ebc79b5,0,Acide Valproïque 200mg forme retard,Valproic Acid,Comprimé,200mg,,
8de82b0a-f864-460a-8e8e-d49a839c6c9d,0,Acide Valproïque 200mg/5ml,Valproic Acid,Sirop,200mg/5ml,,
1d2909ed-364a-4617-b2c1-49d0af44f6ad,0,Acide Valproïque 500mg,Valproic Acid,Injection,500mg,,
f75c0431-13c1-41da-a5f9-bd3931280eb3,0,Acide Valproïque 500mg forme retard,Valproic Acid,Comprimé,500mg,,
9388c944-ebe1-4539-938a-3bcdf0663364,0,Acide Zolédronique 4mg,Zoledronic Acid,Injection,4mg,,
9eea3412-77e3-4140-80c1-3a9a6b6ef74a,0,Albendazole 100mg/5ml,Albendazole,Suspension,100mg/5ml,,
2659fae5-1016-4b42-883e-39e2be3cd3bb,0,Albendazole 400mg,Albendazole,Comprimé,400mg,,
b71e66d2-dee7-4bd2-b7bb-057d3b55bf7a,0,Albendazole 400mg -,Albendazole,Sirop,400mg,,
573141d0-c0dc-4b01-adce-6aab28246170,0,Albumine humaine 20%/100ml,Human Albumin,Injection,20%/100ml,,
7e741ef7-21e6-424c-9543-7acdce841ffa,0,Albumine humaine 20%/50ml,Human Albumin,Injection,20%/50ml,,
223e8c6d-3215-48f0-91a4-2d952cd89e81,0,Alcool éthylique 95% de 25 litres,Ethyl Alcohol,Bidon,95%,,
c3a93ac6-4e9a-4044-96fb-738047585131,0,Alcool éthylique à 70 % 100ml,Ethyl Alcohol,Bidon,70%,,
55a5ddd8-6aa8-4eb1-960c-4dbabc4c8f3e,0,Alcool éthylique à 70 % 125ml,Ethyl Alcohol,Bidon,70%,,
79e7cd72-ee6f-44dd-b9c9-3d069143c403,0,Alcool éthylique à 70 % 1L,Ethyl Alcohol,Bidon,70%,,
f2d76013-6662-45ce-8a5d-5439a7fc9c45,0,Alcool éthylique à 70 % 500ml,Ethyl Alcohol,Bidon,70%,,
6b527619-937d-4f03-aad3-555113210474,0,Alcool éthylique à 95 % 100ml,Ethyl Alcohol,Bidon,95%,,
8a849330-b894-4e42-861d-438ac4ceb9dd,0,Alcool éthylique à 95 % 125ml,Ethyl Alcohol,Bidon,95%,,
42b02ab8-f170-4409-9b0b-16c3d66874c8,0,Alcool éthylique à 95 % 1L,Ethyl Alcohol,Bidon,95%,,
383881e5-633f-4fef-a0f4-0ae9ce7051be,0,Alcool éthylique à 95 % 500ml,Ethyl Alcohol,Bidon,95%,,
5dc73f43-f4a3-4ab9-98e8-e2c6c6d4dac4,0,Alcool éthylique à 95% 20L,Ethyl Alcohol,Bidon,95%,,
463db177-9c1c-489a-85a0-d8eb0c17f21d,0,Alcool éthylique fut 230L,Ethyl Alcohol,Bidon,,,
89758c1b-d77f-4a10-94bb-47f60e21096f,0,Alcool éthylique fut 250L,Ethyl Alcohol,Bidon,,,
cc4086df-ca7b-4c7e-b2e2-951ff4185c34,0,Alizapride,Alizapride,Injection,,,
d1008718-1c1d-4024-8673-86b86d56252c,0,Allopurinol 100mg,Allopurinol,Comprimé,100mg,,
d8ef3bb4-4d3f-4124-883d-21fd8401105f,0,Aluminium Hydroxyde 500mg,Aluminum Hydroxide,Comprimé,500mg,,
8110845f-4121-42cd-be3c-2bac8d0d0109,0,Amidotrizoate de sodium,Sodium Amidotrizoate,Injection,,,
2083af16-21bb-40cc-adc4-61088056cdb6,0,Amikacine 500mg,Amikacin,Injection,500mg,,
ecaff386-8003-4792-902f-17ff6c182d75,0,Aminophylline 100mg,Aminophylline,Comprimé,100mg,,
b48e687f-d578-4594-9789-27a2f10037df,0,"Aminophylline 25mg/ml, 250mg /10ml",Aminophylline,Ampoule,25mg/ml,,
cafc57a4-2875-41fe-be58-9cd10dcd1346,0,Amiodarone 100mg,Amiodarone,Comprimé,100mg,,
a413eff0-b200-40a8-bf1a-7f7377613c9f,0,Amiodarone 200mg,Amiodarone,Comprimé,200mg,,
ede4b70f-6eef-44b7-85f8-163355e24d04,0,Amiodarone 50mg/ml,Amiodarone,Injection,50mg/ml,,
80feaaae-c4ee-4fa8-b9bb-6396a2440301,0,Amlodipine 10mg,Amlodipine,Comprimé,10mg,,
6d051b34-7048-458b-b5eb-553e0133716b,0,Amlodipine 5mg,Amlodipine,Comprimé,5mg,,
ae5fd29a-7884-449a-b0a6-f1d398620b4e,0,Amoxycilline 250mg poudre pour 100ml,Amoxycillin,Sirop,250mg,,
0971ec4e-774d-44b7-be2d-dd170fd6a118,0,Amoxycilline 250mg poudre pour 60ml,Amoxycillin,Sirop,250mg,,
83774614-9545-45c2-9061-ca5e9493bc4a,0,Amoxycilline 250mg/5ml,Amoxycillin,Sirop,250mg,,
0a8835da-97d8-4c56-a8dd-c875a152e189,0,"Amoxycilline 250mg/5ml poudre pour, 60ml",Amoxycillin,Sirop,250mg/5ml,,
87ad4d1c-5bcc-4a32-bb8f-846e2818e956,0,"Amoxycilline 500mg, sous blister",Amoxycillin,Comprimé,500mg,,
356f5f05-0f83-49f1-9b2a-436bae4e82e2,0,"Amoxycilline 500mg, sous blister -",Amoxycillin,Capsule,500mg,,
ea42a40b-f50b-4420-8c81-11a269befd09,0,Amoxycilline+Acide Clavulanique 1000mg+125mg,Amoxycillin + Clavulanic Acid,Comprimé,1000mg+125mg,,
87453691-2426-49a6-9023-2c03bdcaaba0,0,"Amoxycilline+Acide Clavulanique 250mg+31,25mg susp buvable",Amoxycillin + Clavulanic Acid,Suspension,"250mg+31,25mg",,
8d4d60ee-ec76-4bab-90a3-35c798eb13ca,0,Amoxycilline+Acide Clavulanique 500mg+125mg,Amoxycillin + Clavulanic Acid,Comprimé,500mg+125mg,,
21fd4ec1-72c6-4f36-8fa1-686ddf279df2,0,Amoxycilline+Acide Clavulanique 500mg+50mg/FL,Amoxycillin + Clavulanic Acid,Injection,500mg+50mg/FL,,
ef6ced68-37a7-45ce-8afa-66ae2b40895f,0,"Amoxycilline+Acide Clavulanique 500mg+62,5mg",Amoxycillin + Clavulanic Acid,Comprimé,"500mg+62,5mg",,
731a4a97-03e0-4cb3-9bfa-c75d59c026a8,0,Amphotéricine B 250mg,Amphotericin B,Capsule,250mg,,
5ed361d0-b6a8-4287-8563-da56400f5f8a,0,Amphotéricine B 500mg,Amphotericin B,Gel,500mg,,
3d01cb0c-a63f-4a5b-8c5d-da1618a71fc6,0,Amphotéricine B Lysomal 50mg/,Amphotericin B,Ampoule,,,
c829d227-683c-45ee-9157-4c5b91ff7941,0,"Ampiciline 1000mg/3,2ml",Ampicillin,Injection,"1000mg/3,2ml",,
80df9afa-739d-422e-bfed-58011b86a33a,0,"Ampiciline 500mg/3,2ml",Ampicillin,Injection,"500mg/3,2ml",,
65b8d7b0-51e9-4739-94a6-ba84c3f7ef74,0,Ampicilline PPI 1g,Ampicillin,Vial,1g,,
