Uuid,Members,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_order:950
29b7e28c-71bf-4442-9f38-b9a9d57fadc9,,Capsule(s),Capsule(s),Capsule(s),Capsule(s),Misc,N/A,
86239663-7b04-4563-b877-d7efc4fe6c46,,Comprimé(s),Comprimé(s),Comprimé(s),Comprimé(s),Misc,N/A,
9d65f54b-3f10-11e4-adec-0800271c1b75,,ml,ml,ml,ml,Misc,N/A,
9d6691d8-3f10-11e4-adec-0800271c1b75,,mg,mg,mg,mg,Misc,N/A,
333eb629-8a92-11e4-977f-0800271c1b75,,Unité internationale - UI,Unité internationale - UI,Unité internationale - UI,Unité internationale - UI,Misc,N/A,
9d6540e1-3f10-11e4-adec-0800271c1b75,,Goutte(s),Goutte(s),Goutte(s),Goutte(s),Misc,N/A,
9d5e14bb-3f10-11e4-adec-0800271c1b75,,Cuillère(s) à soupe,Cuillère(s) à soupe,Cuillère(s) à soupe,Cuillère(s) à soupe,Misc,N/A,
9d5d5f6e-3f10-11e4-adec-0800271c1b75,,Cuillère(s) à café,Cuillère(s) à café,Cuillère(s) à café,Cuillère(s) à café,Misc,N/A,
333f4c20-8a92-11e4-977f-0800271c1b75,,Unité(s),Unité(s),Unité(s),Unité(s),Misc,N/A,
335ca7f3-682a-4c35-a9b4-a29e003d3cad,,Bouffée(s),Bouffée(s),Bouffée(s),Bouffée(s),Misc,N/A,
82b30cf9-e4c0-401c-8ac0-56caf3b15727,,Application(s),Application(s),Application(s),Application(s),Misc,N/A,
e7a19af2-b643-422d-a90b-2f8ef490e0ee,,Ampoule(s),Ampoule(s),Ampoule(s),Ampoule(s),Misc,N/A,
a2c4ede3-084b-4a9f-b44b-26da354962f4,,Suppositoire(s),Suppositoire(s),Suppositoire(s),Suppositoire(s),Misc,N/A,
06ee31e0-d57e-4b9e-a440-e333317ee821,,Sachet(s),Sachet(s),Sachet(s),Sachet(s),Misc,N/A,
014fb437-08d0-4c46-ae60-7b2e4928b8a7,,Collyre(s),Collyre(s),Collyre(s),Collyre(s),Misc,N/A,
977383af-f95a-4f2d-a693-d0d1496a9e48,,Vial(s),Vial(s),Vial(s),Vial(s),Misc,N/A,
9d5b708e-3f10-11e4-adec-0800271c1b75,Capsule(s);Comprimé(s);ml;mg;Unité internationale - UI;Goutte(s);Cuillère(s) à soupe;Cuillère(s) à café;Unité(s);Bouffée(s);Application(s);Ampoule(s);Suppositoire(s);Sachet(s);Collyre(s);Vial(s),Dosing Units,Dosing Units,Dosing Units,Dosing Units,ConvSet,N/A,
