uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_order:1283
cc742a8e-0544-493a-8a52-1590e150bf14,,,Date de la Consultation post-natale,Date of the Post-Natal Consultation,Date de la Consultation post-natale,Date of the Post-Natal Consultation,Misc,Date,
95b092f7-2abd-4e8f-8c7d-44dba906d2bf,,,2h après l'accouchement,2 hours after delivery,2h après l'accouchement,2 hours after delivery,Misc,N/A,
c5e8bd83-bea6-4a41-96ff-b4aa39c36dab,,,Jour 2,Day 2,Jour 2,Day 2,Misc,N/A,
53779988-292f-48e6-9a89-ae5a23723957,,,Jour 3,Day 3,Jour 3,Day 3,Misc,N/A,
20ceae1c-9a9b-4561-b806-15b295376fa3,,95b092f7-2abd-4e8f-8c7d-44dba906d2bf;c5e8bd83-bea6-4a41-96ff-b4aa39c36dab;53779988-292f-48e6-9a89-ae5a23723957,Jour,Day,Jour,Day,Misc,Coded,
d3966263-0c2a-4b36-bfd4-564535014e4c,,,Utérus contracté,Contracted uterus,Utérus contracté,Contracted uterus,Misc,Boolean,
91a957fd-f6d0-438b-b13d-99169fe88be6,,c45f6876-3f10-11e4-adec-0800271c1b75;8de7ee06-bf87-461c-900c-fe0bb9f18e76,Lochies/Saignement,Lochia/Bleeding,Lochies/Saignement,Lochia/Bleeding,Misc,Coded,
8f5cd547-61f2-4631-8a6c-80d0ea8bbb41,,c45f6876-3f10-11e4-adec-0800271c1b75;8de7ee06-bf87-461c-900c-fe0bb9f18e76,Mamelon et aréole,Nipple and areola,Mamelon et aréole,Nipple and areola,Misc,Coded,
f74c867c-747b-4fdf-9278-746bc79827e4,,,Sepsis puerpéral,Sepsis puerperal (SP),Sepsis puerpéral,Sepsis puerperal (SP),Misc,N/A,
c2bf7d86-b42b-4657-9cd1-672d1db33c65,,,Psychose puerpérale,Puerperal Psychosis (PP),Psychose puerpérale,Puerperal Psychosis (PP),Misc,N/A,
063047de-0f64-4886-875c-215443b2777d,,,Fistules obstétricales (FO),Obstetric fistula (OF),Fistules obstétricales (FO),Obstetric fistula (OF),Misc,N/A,
b952270a-c174-4878-ab45-71a6602013f6,,,Autres à préciser (AU),Others to be precised,Autres à préciser (AU),Others to be precised,Misc,Text,
6754649b-f1ff-44d3-b345-8901e8c95ab3,,9ff49b12-e8c7-4fc5-ab22-87ba4336b05a;f74c867c-747b-4fdf-9278-746bc79827e4;c2bf7d86-b42b-4657-9cd1-672d1db33c65;063047de-0f64-4886-875c-215443b2777d;47764488-d8dc-48ce-8305-b9bfbb626110;cf0b85a0-267a-4026-b8a7-ccfef75ccf6d;b1d369d8-a31f-4333-b213-78bbb17071a0,Complications/Devenir,Complications/Becoming,Complications/Devenir,Complications/Becoming,Misc,Coded,
8e027cc2-5f31-4897-863d-fbb5775da255,,,Première dose,First dose (1),Première dose,First dose (1),Misc,N/A,
c2953911-f3f0-4e4b-bb77-53c7b3399b76,,,Deuxième dose,Second dose (2),Deuxième dose,Second dose (2),Misc,N/A,
4976a000-a36e-4586-9a50-0b6e6d2eff37,,,Troisième dose,Third dose (3),Troisième dose,Third dose (3),Misc,N/A,
95b8ea1a-5e4f-48cc-bb42-7122857b76e2,,,Quatrième dose,Fourth dose (4),Quatrième dose,Fourth dose (4),Misc,N/A,
2f023f54-6e12-4632-9df0-c17f809ebddd,,,Cinquième dose,Fifth dose (5),Cinquième dose,Fifth dose (5),Misc,N/A,
ef8a1c43-40a1-400d-9eec-1a843161aa30,,,Complètement immunisé,Completely immune (CI),Complètement immunisé,Completely immune (CI),Misc,N/A,
67367d60-50b9-43fc-bd6b-d354d46a32f2,,8e027cc2-5f31-4897-863d-fbb5775da255;c2953911-f3f0-4e4b-bb77-53c7b3399b76;4976a000-a36e-4586-9a50-0b6e6d2eff37;95b8ea1a-5e4f-48cc-bb42-7122857b76e2;2f023f54-6e12-4632-9df0-c17f809ebddd;ef8a1c43-40a1-400d-9eec-1a843161aa30,Tétanos/Diphtérie (TD) reçu,Tetanus/Diphtheria (TD) received,Tétanos/Diphtérie (TD) reçu,Tetanus/Diphtheria (TD) received,Misc,Coded,
1dde83dc-092a-4121-bd32-6f1c08dcc4d5,,,Tétanos/Diphtérie (TD) reçu Date,Tetanus/Diphtheria (TD) received Date,Tétanos/Diphtérie (TD) reçu Date,Tetanus/Diphtheria (TD) received Date,Misc,Date,
4ddde4ef-0de7-442e-9901-13fed989bbb2,,,Vitamines A,Vitamines A,Vitamines A,Vitamines A,Misc,Boolean,
cc3ca92e-b280-4555-a433-f754b1b78d78,,,Alimentation de l'enfant (AF),Child Feeding (CF),Alimentation de l'enfant (AF),Child Feeding (CF),Misc,N/A,
0d3bb87f-4d52-4278-aa80-b751ab105b6f,,,Planification familiale (PF),Family Planning (FP),Planification familiale (PF),Family Planning (FP),Misc,N/A,
26080b3c-c816-47e2-b8f1-edc6eec3f3aa,,,Observance au traitement (OT),Adherence to Treatment (AT),Observance au traitement (OT),Adherence to Treatment (AT),Misc,N/A,
b34c4aa8-b6fe-4f09-b42b-088bc217a66e,,,Virus de l'immunodéficience (VIH),Immunodeficiency virus (HIV),Virus de l'immunodéficience (VIH),Immunodeficiency virus (HIV),Misc,N/A,
189120ed-147e-4603-8730-be7b343aec72,,,Diagnostic précoce de l'enfant (DP),Early diagnosis of the child (ED),Diagnostic précoce de l'enfant (DP),Early diagnosis of the child (ED),Misc,N/A,
da0ee12b-20bd-4a32-8f57-e113fce8cb00,,,Vaccination pour la mère et l'enfant (VAME),Vaccination for mother and child (VACC),Vaccination pour la mère et l'enfant (VAME),Vaccination for mother and child (VACC),Misc,N/A,
