uuid,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:1270
867262ae-04b4-4c4d-a546-5ba6b5d0693b,5 Fluoro Uracile,5 Fluoro Uracil,5 Fluoro Uracile,5 Fluoro Uracil,Drug,N/A,,
213b207a-3211-411c-88bb-92ef339ef731,Acécoumarol,Acécoumarol,Acécoumarol,Acécoumarol,Drug,N/A,,
16a6932b-3176-4d00-8534-abcd68808c7a,Acétazolamide,Acetazolamide,Acétazolamide,Acetazolamide,Drug,N/A,,
34ac0d12-bc93-45c2-91e2-fb2ca9637267,Acétyleucine,Acetyleucine,Acétyleucine,Acetyleucine,Drug,N/A,,
d8f6eb3d-35a3-4a23-8d4b-496dd2183a58,Acétylsalicylate de lysine,Lysine Acetylsalicylate,Acétylsalicylate de lysine,Lysine Acetylsalicylate,Drug,N/A,,
c0249008-2c9d-4826-849e-07a00dbe6de9,Acide acétyl salicylique (AAS),Acetyl Salicylic Acid (AAS),Acide acétyl salicylique (AAS),Acetyl Salicylic Acid (AAS),Drug,N/A,,
685c7b42-2889-4e58-a94f-c8fbe3f362c6,Acide ascorbique (Vitamine C),Ascorbic Acid (Vitamin C),Acide ascorbique (Vitamine C),Ascorbic Acid (Vitamin C),Drug,N/A,,
c0831c65-0a76-4d4d-b5a5-fdcf985d8109,Acide folinique,Folinic Acid,Acide folinique,Folinic Acid,Drug,N/A,,
4e55eae4-73b8-4dff-8d6e-f4a375f10304,Acide ibandronique,Ibandronic Acid,Acide ibandronique,Ibandronic Acid,Drug,N/A,,
31e47c12-cbed-46e1-9e88-f891f06c8128,Acide pamidronique,Pamidronic Acid,Acide pamidronique,Pamidronic Acid,Drug,N/A,,
e18f165b-19db-40a7-b24e-46b1d068c3ce,Acide para amino salicyliques,Salicylic Para Amino Acid,Acide para amino salicyliques,Salicylic Para Amino Acid,Drug,N/A,,
f38640b8-537b-4bb7-bbd5-42740255986e,Acide zolédronique,Zoledronic Acid,Acide zolédronique,Zoledronic Acid,Drug,N/A,,
8214763a-b99a-41da-bd00-06efecd3b892,Albumine humaine,Human Albumin,Albumine humaine,Human Albumin,Drug,N/A,,
